recording_id,source_file,signal_id,class,window_id,start_sample,end_sample
B007_0_X118,B007_0.mat,X118,Ball,0,0,12000
B007_0_X118,B007_0.mat,X118,Ball,1,6000,18000
B007_0_X118,B007_0.mat,X118,Ball,2,12000,24000
B007_0_X118,B007_0.mat,X118,Ball,3,18000,30000
B007_0_X118,B007_0.mat,X118,Ball,4,24000,36000
B007_0_X118,B007_0.mat,X118,Ball,5,30000,42000
B007_0_X118,B007_0.mat,X118,Ball,6,36000,48000
B007_0_X118,B007_0.mat,X118,Ball,7,42000,54000
B007_0_X118,B007_0.mat,X118,Ball,8,48000,60000
B007_0_X118,B007_0.mat,X118,Ball,9,54000,66000
B007_0_X118,B007_0.mat,X118,Ball,10,60000,72000
B007_0_X118,B007_0.mat,X118,Ball,11,66000,78000
B007_0_X118,B007_0.mat,X118,Ball,12,72000,84000
B007_0_X118,B007_0.mat,X118,Ball,13,78000,90000
B007_0_X118,B007_0.mat,X118,Ball,14,84000,96000
B007_0_X118,B007_0.mat,X118,Ball,15,90000,102000
B007_0_X118,B007_0.mat,X118,Ball,16,96000,108000
B007_0_X118,B007_0.mat,X118,Ball,17,102000,114000
B007_0_X118,B007_0.mat,X118,Ball,18,108000,120000
B007_1_X119,B007_1.mat,X119,Ball,0,0,12000
B007_1_X119,B007_1.mat,X119,Ball,1,6000,18000
B007_1_X119,B007_1.mat,X119,Ball,2,12000,24000
B007_1_X119,B007_1.mat,X119,Ball,3,18000,30000
B007_1_X119,B007_1.mat,X119,Ball,4,24000,36000
B007_1_X119,B007_1.mat,X119,Ball,5,30000,42000
B007_1_X119,B007_1.mat,X119,Ball,6,36000,48000
B007_1_X119,B007_1.mat,X119,Ball,7,42000,54000
B007_1_X119,B007_1.mat,X119,Ball,8,48000,60000
B007_1_X119,B007_1.mat,X119,Ball,9,54000,66000
B007_1_X119,B007_1.mat,X119,Ball,10,60000,72000
B007_1_X119,B007_1.mat,X119,Ball,11,66000,78000
B007_1_X119,B007_1.mat,X119,Ball,12,72000,84000
B007_1_X119,B007_1.mat,X119,Ball,13,78000,90000
B007_1_X119,B007_1.mat,X119,Ball,14,84000,96000
B007_1_X119,B007_1.mat,X119,Ball,15,90000,102000
B007_1_X119,B007_1.mat,X119,Ball,16,96000,108000
B007_1_X119,B007_1.mat,X119,Ball,17,102000,114000
B007_1_X119,B007_1.mat,X119,Ball,18,108000,120000
B007_2_X120,B007_2.mat,X120,Ball,0,0,12000
B007_2_X120,B007_2.mat,X120,Ball,1,6000,18000
B007_2_X120,B007_2.mat,X120,Ball,2,12000,24000
B007_2_X120,B007_2.mat,X120,Ball,3,18000,30000
B007_2_X120,B007_2.mat,X120,Ball,4,24000,36000
B007_2_X120,B007_2.mat,X120,Ball,5,30000,42000
B007_2_X120,B007_2.mat,X120,Ball,6,36000,48000
B007_2_X120,B007_2.mat,X120,Ball,7,42000,54000
B007_2_X120,B007_2.mat,X120,Ball,8,48000,60000
B007_2_X120,B007_2.mat,X120,Ball,9,54000,66000
B007_2_X120,B007_2.mat,X120,Ball,10,60000,72000
B007_2_X120,B007_2.mat,X120,Ball,11,66000,78000
B007_2_X120,B007_2.mat,X120,Ball,12,72000,84000
B007_2_X120,B007_2.mat,X120,Ball,13,78000,90000
B007_2_X120,B007_2.mat,X120,Ball,14,84000,96000
B007_2_X120,B007_2.mat,X120,Ball,15,90000,102000
B007_2_X120,B007_2.mat,X120,Ball,16,96000,108000
B007_2_X120,B007_2.mat,X120,Ball,17,102000,114000
B007_2_X120,B007_2.mat,X120,Ball,18,108000,120000
B007_3_X121,B007_3.mat,X121,Ball,0,0,12000
B007_3_X121,B007_3.mat,X121,Ball,1,6000,18000
B007_3_X121,B007_3.mat,X121,Ball,2,12000,24000
B007_3_X121,B007_3.mat,X121,Ball,3,18000,30000
B007_3_X121,B007_3.mat,X121,Ball,4,24000,36000
B007_3_X121,B007_3.mat,X121,Ball,5,30000,42000
B007_3_X121,B007_3.mat,X121,Ball,6,36000,48000
B007_3_X121,B007_3.mat,X121,Ball,7,42000,54000
B007_3_X121,B007_3.mat,X121,Ball,8,48000,60000
B007_3_X121,B007_3.mat,X121,Ball,9,54000,66000
B007_3_X121,B007_3.mat,X121,Ball,10,60000,72000
B007_3_X121,B007_3.mat,X121,Ball,11,66000,78000
B007_3_X121,B007_3.mat,X121,Ball,12,72000,84000
B007_3_X121,B007_3.mat,X121,Ball,13,78000,90000
B007_3_X121,B007_3.mat,X121,Ball,14,84000,96000
B007_3_X121,B007_3.mat,X121,Ball,15,90000,102000
B007_3_X121,B007_3.mat,X121,Ball,16,96000,108000
B007_3_X121,B007_3.mat,X121,Ball,17,102000,114000
B007_3_X121,B007_3.mat,X121,Ball,18,108000,120000
IR007_0_X105,IR007_0.mat,X105,Inner Race,0,0,12000
IR007_0_X105,IR007_0.mat,X105,Inner Race,1,6000,18000
IR007_0_X105,IR007_0.mat,X105,Inner Race,2,12000,24000
IR007_0_X105,IR007_0.mat,X105,Inner Race,3,18000,30000
IR007_0_X105,IR007_0.mat,X105,Inner Race,4,24000,36000
IR007_0_X105,IR007_0.mat,X105,Inner Race,5,30000,42000
IR007_0_X105,IR007_0.mat,X105,Inner Race,6,36000,48000
IR007_0_X105,IR007_0.mat,X105,Inner Race,7,42000,54000
IR007_0_X105,IR007_0.mat,X105,Inner Race,8,48000,60000
IR007_0_X105,IR007_0.mat,X105,Inner Race,9,54000,66000
IR007_0_X105,IR007_0.mat,X105,Inner Race,10,60000,72000
IR007_0_X105,IR007_0.mat,X105,Inner Race,11,66000,78000
IR007_0_X105,IR007_0.mat,X105,Inner Race,12,72000,84000
IR007_0_X105,IR007_0.mat,X105,Inner Race,13,78000,90000
IR007_0_X105,IR007_0.mat,X105,Inner Race,14,84000,96000
IR007_0_X105,IR007_0.mat,X105,Inner Race,15,90000,102000
IR007_0_X105,IR007_0.mat,X105,Inner Race,16,96000,108000
IR007_0_X105,IR007_0.mat,X105,Inner Race,17,102000,114000
IR007_0_X105,IR007_0.mat,X105,Inner Race,18,108000,120000
IR007_1_X106,IR007_1.mat,X106,Inner Race,0,0,12000
IR007_1_X106,IR007_1.mat,X106,Inner Race,1,6000,18000
IR007_1_X106,IR007_1.mat,X106,Inner Race,2,12000,24000
IR007_1_X106,IR007_1.mat,X106,Inner Race,3,18000,30000
IR007_1_X106,IR007_1.mat,X106,Inner Race,4,24000,36000
IR007_1_X106,IR007_1.mat,X106,Inner Race,5,30000,42000
IR007_1_X106,IR007_1.mat,X106,Inner Race,6,36000,48000
IR007_1_X106,IR007_1.mat,X106,Inner Race,7,42000,54000
IR007_1_X106,IR007_1.mat,X106,Inner Race,8,48000,60000
IR007_1_X106,IR007_1.mat,X106,Inner Race,9,54000,66000
IR007_1_X106,IR007_1.mat,X106,Inner Race,10,60000,72000
IR007_1_X106,IR007_1.mat,X106,Inner Race,11,66000,78000
IR007_1_X106,IR007_1.mat,X106,Inner Race,12,72000,84000
IR007_1_X106,IR007_1.mat,X106,Inner Race,13,78000,90000
IR007_1_X106,IR007_1.mat,X106,Inner Race,14,84000,96000
IR007_1_X106,IR007_1.mat,X106,Inner Race,15,90000,102000
IR007_1_X106,IR007_1.mat,X106,Inner Race,16,96000,108000
IR007_1_X106,IR007_1.mat,X106,Inner Race,17,102000,114000
IR007_1_X106,IR007_1.mat,X106,Inner Race,18,108000,120000
IR007_2_X107,IR007_2.mat,X107,Inner Race,0,0,12000
IR007_2_X107,IR007_2.mat,X107,Inner Race,1,6000,18000
IR007_2_X107,IR007_2.mat,X107,Inner Race,2,12000,24000
IR007_2_X107,IR007_2.mat,X107,Inner Race,3,18000,30000
IR007_2_X107,IR007_2.mat,X107,Inner Race,4,24000,36000
IR007_2_X107,IR007_2.mat,X107,Inner Race,5,30000,42000
IR007_2_X107,IR007_2.mat,X107,Inner Race,6,36000,48000
IR007_2_X107,IR007_2.mat,X107,Inner Race,7,42000,54000
IR007_2_X107,IR007_2.mat,X107,Inner Race,8,48000,60000
IR007_2_X107,IR007_2.mat,X107,Inner Race,9,54000,66000
IR007_2_X107,IR007_2.mat,X107,Inner Race,10,60000,72000
IR007_2_X107,IR007_2.mat,X107,Inner Race,11,66000,78000
