recording_id,source_file,signal_id,class,window_id,start_sample,end_sample,label
IR007_0_X105,IR007_0.mat,X105,Inner Race,0,0,12000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,1,6000,18000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,2,12000,24000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,3,18000,30000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,4,24000,36000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,5,30000,42000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,6,36000,48000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,7,42000,54000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,8,48000,60000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,9,54000,66000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,10,60000,72000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,11,66000,78000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,12,72000,84000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,13,78000,90000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,14,84000,96000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,15,90000,102000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,16,96000,108000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,17,102000,114000,2
IR007_0_X105,IR007_0.mat,X105,Inner Race,18,108000,120000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,0,0,12000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,1,6000,18000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,2,12000,24000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,3,18000,30000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,4,24000,36000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,5,30000,42000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,6,36000,48000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,7,42000,54000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,8,48000,60000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,9,54000,66000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,10,60000,72000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,11,66000,78000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,12,72000,84000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,13,78000,90000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,14,84000,96000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,15,90000,102000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,16,96000,108000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,17,102000,114000,2
IR007_2_X107,IR007_2.mat,X107,Inner Race,18,108000,120000,2
NORMAL_0_X097,NORMAL_0.mat,X097,Healthy,0,0,12000,0
