Feature,Importance
Low_Frequency_Energy,0.09616102083210905
Variance,0.08738519889148137
Minimum,0.08410524227681297
RMS,0.07978990421298061
Spectral_RMS,0.07951987756518171
Peak_to_Peak,0.07810299029334392
Total_Spectral_Energy,0.07608465239468179
Maximum,0.0684654573713995
High_Frequency_Energy,0.06494806835438287
Mid_Frequency_Energy,0.062041726198026705
Std,0.05953786609575443
Spectral_Centroid,0.058350151546443685
Kurtosis,0.056729779800910256
Dominant_Frequency,0.034549812287231065
Crest_Factor,0.014228251879260037
